datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm10.0_atm
2021-02-01 00:00:00+00:00,1612137600,91355,42.721,27.4,2.2,3.128
2021-03-01 00:00:00+00:00,1614556800,91355,40.603,27.8,2.3,3.38
2021-04-01 00:00:00+00:00,1617235200,91355,40.063,25.1,7.2,11.143
2021-05-01 00:00:00+00:00,1619827200,91355,55.217,17.6,7.3,11.802
2021-06-01 00:00:00+00:00,1622505600,91355,58.55,14.7,6.3,11.602
2021-07-01 00:00:00+00:00,1625097600,91355,52.401,14.4,5.4,10.103
2021-08-01 00:00:00+00:00,1627776000,91355,48.641,16.2,6.1,10.565
2021-09-01 00:00:00+00:00,1630454400,91355,48.13,18.4,2.7,4.658
2021-10-01 00:00:00+00:00,1633046400,91355,49.481,20.7,3.4,5.751
2021-11-01 00:00:00+00:00,1635724800,91355,57.932,21.1,2.3,4.084
2021-12-01 00:00:00+00:00,1638316800,91355,55.314,23.9,2.5,4.346
2022-01-01 00:00:00+00:00,1640995200,91355,57.465,26.5,2.5,4.464
2022-02-01 00:00:00+00:00,1643673600,91355,60.383,24.3,2.6,4.65
2022-03-01 00:00:00+00:00,1646092800,91355,66.446,22.6,2.4,4.132
2022-04-01 00:00:00+00:00,1648771200,91355,62.149,20.8,3.3,5.549
2022-05-01 00:00:00+00:00,1651363200,91355,62.751,17.3,3.9,6.866
2022-06-01 00:00:00+00:00,1654041600,91355,54.616,13.4,4.0,7.451
2022-07-01 00:00:00+00:00,1656633600,91355,65.812,13.5,3.8,7.31
2022-08-01 00:00:00+00:00,1659312000,91355,55.625,15.5,2.8,4.823
2022-09-01 00:00:00+00:00,1661990400,91355,58.584,16.8,2.7,4.622
2022-10-01 00:00:00+00:00,1664582400,91355,57.896,20.1,2.0,3.31
2022-11-01 00:00:00+00:00,1667260800,91355,50.286,20.6,2.0,3.341
2022-12-01 00:00:00+00:00,1669852800,91355,51.738,22.1,2.5,4.326
2023-01-01 00:00:00+00:00,1672531200,91355,60.418,24.1,2.8,4.752
2023-02-01 00:00:00+00:00,1675209600,91355,55.538,25.4,2.7,4.785
2023-03-01 00:00:00+00:00,1677628800,91355,56.437,24.8,3.3,5.764
2023-04-01 00:00:00+00:00,1680307200,91355,59.581,19.8,2.5,4.344
2023-05-01 00:00:00+00:00,1682899200,91355,52.959,15.8,4.4,8.169
2023-06-01 00:00:00+00:00,1685577600,91355,53.384,14.8,5.1,9.648
2023-07-01 00:00:00+00:00,1688169600,91355,53.023,15.5,5.8,10.948
2023-08-01 00:00:00+00:00,1690848000,91355,57.179,16.1,5.2,9.63
2023-09-01 00:00:00+00:00,1693526400,91355,47.515,19.9,11.9,18.82
2023-10-01 00:00:00+00:00,1696118400,91355,47.837,20.7,3.0,5.455
2023-11-01 00:00:00+00:00,1698796800,91355,58.039,23.0,2.6,4.435
